year,month,day_of_week,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,hour
2022,february,wednesday,serious,2,car,10,3,hazy,urban road,dry,dusk,signs,55,41,female,valid,no,1
2022,july,friday,fatal,1,two-wheeler,9,4,clear,national highway,wet,dawn,signals,34,23,female,expired,yes,18
2022,december,tuesday,serious,3,cycle,1,3,foggy,national highway,dry,daylight,,106,48,male,,no,13
2022,february,monday,serious,1,two-wheeler,1,1,foggy,urban road,damaged,dawn,police checkpost,31,20,male,,no,3
2018,august,tuesday,fatal,3,auto-rickshaw,2,2,stormy,national highway,wet,daylight,police checkpost,92,43,female,,yes,11
2019,april,wednesday,minor,2,pedestrian,7,5,clear,state highway,under construction,daylight,police checkpost,71,65,male,,no,15
2023,august,wednesday,fatal,1,car,10,1,stormy,national highway,damaged,dusk,,90,64,female,expired,no,0
2019,march,friday,serious,2,bus,8,0,stormy,village road,wet,daylight,signals,83,31,female,expired,no,15
2018,may,sunday,minor,3,two-wheeler,2,1,hazy,national highway,under construction,dusk,,33,24,female,valid,yes,10
2019,march,thursday,fatal,2,car,7,0,stormy,state highway,under construction,dawn,signs,69,51,female,valid,no,15
2022,november,tuesday,fatal,1,bus,0,3,clear,national highway,under construction,dark,signals,53,63,male,valid,no,9
2020,july,saturday,serious,5,bus,6,2,hazy,urban road,damaged,dawn,signs,82,68,female,valid,no,23
2018,july,thursday,minor,3,auto-rickshaw,7,2,stormy,state highway,damaged,dark,signs,79,41,male,valid,yes,12
2023,august,saturday,minor,2,pedestrian,8,3,stormy,national highway,dry,dawn,,30,40,male,,yes,17
2023,february,sunday,serious,3,cycle,9,5,hazy,village road,damaged,dark,,106,25,female,expired,yes,11
2019,january,tuesday,fatal,2,car,3,1,foggy,state highway,damaged,dawn,,102,32,female,expired,no,16
2020,july,thursday,minor,2,car,1,5,foggy,national highway,under construction,dawn,,48,69,female,expired,no,19
2018,june,saturday,minor,5,truck,5,3,foggy,urban road,under construction,dusk,police checkpost,32,65,male,valid,no,17
2022,february,monday,serious,1,truck,4,1,hazy,urban road,under construction,dusk,signs,59,60,male,valid,no,6
2022,february,wednesday,fatal,2,truck,5,5,rainy,national highway,under construction,daylight,,88,53,female,expired,no,17
2022,july,tuesday,serious,5,auto-rickshaw,2,2,foggy,village road,damaged,dusk,signs,83,56,male,valid,no,20
2020,april,friday,minor,2,auto-rickshaw,2,5,clear,state highway,under construction,dawn,,58,47,female,valid,no,7
2018,december,sunday,serious,5,cycle,2,5,rainy,village road,damaged,dark,signals,30,20,male,valid,yes,7
2022,february,sunday,serious,1,truck,8,1,foggy,national highway,damaged,dawn,signs,104,42,male,valid,no,10
2021,february,wednesday,minor,3,truck,1,5,rainy,urban road,under construction,dark,police checkpost,93,44,male,,yes,22
2021,november,friday,minor,3,auto-rickshaw,4,4,foggy,state highway,damaged,dark,signs,82,53,male,,no,9
2020,january,tuesday,fatal,5,cycle,0,2,rainy,village road,wet,daylight,signs,82,48,male,valid,yes,19
2019,october,wednesday,serious,2,car,2,5,stormy,village road,under construction,daylight,signs,108,37,female,,yes,5
2023,may,sunday,minor,4,auto-rickshaw,9,4,hazy,national highway,dry,dusk,,41,49,female,valid,no,4
2019,december,wednesday,fatal,4,two-wheeler,3,5,rainy,state highway,wet,dusk,,61,51,female,,no,0
2018,may,thursday,minor,2,two-wheeler,6,2,rainy,national highway,wet,dusk,,109,30,male,valid,no,18
2022,august,tuesday,fatal,4,two-wheeler,1,3,foggy,national highway,under construction,daylight,,30,57,male,expired,no,22
2022,may,sunday,minor,5,auto-rickshaw,1,4,hazy,state highway,damaged,dawn,police checkpost,114,25,female,,yes,9
2021,april,saturday,serious,4,pedestrian,6,4,foggy,state highway,dry,dusk,signals,37,22,male,valid,yes,5
2020,october,thursday,serious,2,bus,1,5,hazy,state highway,under construction,dark,signs,50,44,male,expired,no,20
2022,february,sunday,serious,1,car,8,1,stormy,national highway,wet,dark,police checkpost,89,20,male,,no,0
2023,february,friday,fatal,2,two-wheeler,9,2,rainy,state highway,under construction,daylight,police checkpost,117,59,male,,yes,22
2022,november,tuesday,fatal,5,cycle,7,4,rainy,state highway,wet,dawn,signs,45,56,female,,no,0
2018,april,monday,serious,3,two-wheeler,8,3,foggy,state highway,dry,dawn,,70,62,female,valid,yes,7
2021,august,sunday,fatal,1,two-wheeler,6,4,hazy,state highway,dry,dark,signals,60,56,female,,no,8
2022,january,monday,minor,1,pedestrian,0,0,clear,national highway,dry,dawn,,95,51,female,expired,no,7
2023,june,saturday,fatal,2,bus,6,0,clear,urban road,dry,dusk,signals,31,54,female,expired,no,6
2018,october,saturday,minor,1,cycle,6,3,foggy,village road,damaged,dawn,,85,55,male,valid,no,10
2019,june,thursday,fatal,5,two-wheeler,2,3,hazy,village road,dry,daylight,police checkpost,110,48,male,valid,yes,21
2019,august,saturday,serious,3,bus,3,2,foggy,national highway,wet,dawn,signs,90,66,male,valid,no,10
2021,february,thursday,serious,1,auto-rickshaw,5,0,foggy,urban road,wet,dark,,61,35,male,expired,no,20
2018,february,saturday,fatal,3,auto-rickshaw,0,4,clear,village road,damaged,dawn,,35,23,female,,yes,15
2023,august,wednesday,fatal,4,auto-rickshaw,2,5,rainy,village road,damaged,dusk,police checkpost,85,65,male,valid,no,17
2023,april,sunday,fatal,2,pedestrian,0,0,stormy,state highway,wet,daylight,signals,99,59,female,valid,no,5
2018,may,wednesday,serious,3,pedestrian,0,3,hazy,urban road,wet,dusk,,30,41,female,,no,0
2018,june,friday,serious,4,truck,0,2,hazy,village road,dry,dark,,97,68,male,,yes,16
2023,march,wednesday,fatal,3,truck,2,3,foggy,urban road,wet,dawn,signs,105,59,male,expired,no,13
2018,april,tuesday,serious,5,auto-rickshaw,6,2,hazy,state highway,under construction,dawn,signs,94,45,female,expired,yes,2
2019,october,monday,minor,4,bus,10,2,stormy,village road,wet,dark,,44,42,female,,yes,5
2020,april,saturday,minor,3,bus,6,2,clear,state highway,wet,dark,police checkpost,66,25,female,expired,yes,16
2018,january,tuesday,serious,5,two-wheeler,1,4,rainy,state highway,under construction,dusk,,77,63,female,,yes,4
2022,april,thursday,fatal,4,cycle,10,3,clear,state highway,dry,dark,police checkpost,38,57,female,,yes,0
2020,april,saturday,minor,1,car,3,2,clear,village road,damaged,dark,signals,43,60,female,,no,19
2023,february,saturday,fatal,1,cycle,3,1,clear,national highway,dry,dusk,signals,41,62,male,,no,9
2018,april,tuesday,serious,5,car,1,3,stormy,national highway,dry,dark,police checkpost,30,49,female,,no,15
2023,december,friday,fatal,5,cycle,10,3,rainy,urban road,under construction,dark,signals,68,61,female,expired,yes,17
2018,august,thursday,minor,4,pedestrian,10,0,foggy,national highway,dry,dawn,signals,74,21,female,expired,no,9
2019,june,monday,minor,2,car,5,5,hazy,state highway,under construction,dawn,signals,101,45,female,,yes,16
2020,may,sunday,minor,5,two-wheeler,10,1,hazy,urban road,wet,daylight,signals,33,24,female,valid,yes,8
2023,may,wednesday,fatal,4,two-wheeler,7,1,hazy,urban road,under construction,dusk,signs,57,49,female,expired,no,12
2020,october,wednesday,minor,1,car,1,1,rainy,village road,damaged,dusk,,43,60,male,expired,yes,17
2022,july,sunday,minor,1,car,8,2,hazy,urban road,dry,dawn,signs,81,18,female,expired,yes,2
2023,march,monday,fatal,4,bus,1,1,hazy,village road,dry,dusk,signals,67,63,female,expired,no,3
2022,february,saturday,fatal,4,cycle,6,0,foggy,state highway,under construction,dusk,signals,98,64,female,expired,yes,2
2018,october,tuesday,serious,2,bus,4,3,clear,village road,under construction,daylight,signs,73,18,female,expired,no,11
2021,november,tuesday,minor,2,bus,3,0,stormy,village road,dry,dusk,,95,36,male,expired,yes,23
2022,may,saturday,minor,2,bus,4,4,stormy,urban road,damaged,dark,,82,27,female,,yes,12
2018,august,sunday,serious,1,cycle,3,1,rainy,village road,wet,daylight,signals,74,57,male,expired,no,14
2018,july,friday,fatal,3,auto-rickshaw,7,3,stormy,urban road,damaged,dawn,signs,47,37,male,valid,no,9
2020,april,saturday,minor,4,car,5,3,clear,national highway,damaged,daylight,,36,34,female,expired,no,1
2022,august,sunday,serious,1,two-wheeler,3,3,rainy,state highway,under construction,daylight,signs,59,55,female,expired,yes,12
2020,august,monday,serious,5,cycle,10,5,rainy,national highway,dry,dusk,police checkpost,37,40,female,expired,no,16
2020,february,saturday,minor,2,car,1,2,stormy,village road,damaged,dusk,,73,61,female,,yes,12
2020,december,tuesday,fatal,2,car,9,0,foggy,urban road,dry,dusk,,60,58,male,expired,yes,12
2023,september,sunday,minor,1,car,6,3,stormy,state highway,dry,dawn,signs,84,52,male,expired,no,13
2020,december,sunday,fatal,4,auto-rickshaw,4,4,clear,state highway,dry,daylight,signs,100,62,male,,no,10
2019,august,saturday,serious,4,cycle,5,3,rainy,state highway,wet,dusk,,98,44,male,,no,6
2022,april,monday,minor,3,two-wheeler,10,3,clear,urban road,under construction,dusk,,86,30,male,expired,yes,5
2019,march,sunday,serious,1,car,0,0,hazy,national highway,dry,daylight,police checkpost,50,20,male,expired,yes,7
2020,june,sunday,fatal,1,auto-rickshaw,8,5,stormy,village road,wet,dark,signals,49,51,female,valid,yes,15
2023,august,wednesday,serious,4,pedestrian,5,4,stormy,village road,wet,daylight,signs,102,29,male,valid,no,10
2021,may,thursday,fatal,2,bus,2,2,stormy,village road,damaged,daylight,signals,86,27,male,valid,yes,5
2019,september,friday,fatal,5,bus,2,4,hazy,national highway,dry,dusk,,103,64,male,expired,no,20
2022,august,saturday,minor,4,car,8,4,foggy,village road,under construction,dark,signals,41,37,male,expired,yes,11
2020,october,friday,fatal,4,auto-rickshaw,3,5,clear,state highway,damaged,dusk,signs,111,59,male,expired,no,18
2022,december,tuesday,serious,4,auto-rickshaw,9,4,stormy,urban road,wet,dusk,,92,20,female,,no,22
2021,june,wednesday,fatal,5,pedestrian,4,5,foggy,urban road,under construction,dark,signals,32,26,male,valid,yes,3
2019,october,wednesday,minor,1,auto-rickshaw,10,5,hazy,national highway,under construction,dusk,signs,50,61,female,,no,8
2021,may,monday,serious,3,truck,9,5,rainy,state highway,under construction,dusk,signs,83,34,female,expired,yes,3
2018,october,tuesday,fatal,5,two-wheeler,5,0,stormy,state highway,damaged,dusk,,120,22,male,expired,no,18
2023,may,friday,minor,3,truck,0,0,clear,national highway,dry,dusk,signs,66,50,male,,yes,2
2023,february,wednesday,serious,4,auto-rickshaw,0,1,clear,village road,dry,dawn,police checkpost,69,24,male,,no,13
2020,june,monday,minor,5,two-wheeler,10,1,stormy,urban road,damaged,dusk,,73,50,male,,yes,3
2022,june,sunday,fatal,3,bus,8,4,rainy,national highway,wet,daylight,,86,37,male,,no,17
2023,july,monday,fatal,4,cycle,3,1,rainy,state highway,wet,dusk,,81,45,female,expired,no,21
2020,may,sunday,minor,2,bus,10,0,rainy,national highway,under construction,dark,,61,47,female,valid,no,17
2019,may,friday,minor,3,bus,10,4,hazy,national highway,wet,daylight,,35,31,female,valid,no,22
2019,april,monday,fatal,5,bus,7,3,stormy,state highway,under construction,daylight,,77,63,male,expired,no,16
2018,october,wednesday,fatal,1,bus,1,2,clear,urban road,wet,daylight,police checkpost,119,49,female,expired,no,10
2022,february,wednesday,serious,5,cycle,10,5,hazy,urban road,under construction,dark,police checkpost,30,39,male,valid,no,4
2018,june,saturday,serious,1,bus,0,3,rainy,state highway,under construction,dawn,police checkpost,88,53,male,expired,yes,20
2023,november,thursday,serious,5,two-wheeler,10,1,rainy,urban road,under construction,dawn,signals,80,32,male,,yes,21
2019,may,tuesday,minor,5,pedestrian,4,4,stormy,village road,wet,dawn,signs,49,57,female,expired,yes,22
2020,may,thursday,serious,2,cycle,8,2,rainy,urban road,wet,daylight,signs,96,43,male,valid,yes,6
2020,november,sunday,serious,3,cycle,0,4,foggy,national highway,dry,daylight,police checkpost,79,54,female,expired,yes,20
2019,july,monday,fatal,3,pedestrian,2,2,clear,national highway,wet,dark,signals,35,55,male,valid,yes,20
2022,october,thursday,fatal,5,bus,10,2,clear,urban road,damaged,dawn,police checkpost,95,18,female,,yes,4
2023,june,sunday,serious,3,two-wheeler,5,3,rainy,national highway,wet,dark,signals,31,42,female,valid,no,23
2023,august,sunday,minor,1,cycle,9,0,foggy,urban road,dry,dusk,signs,70,50,female,,no,6
2018,january,friday,minor,1,truck,9,1,hazy,state highway,damaged,daylight,signals,55,67,male,,no,22
2022,september,thursday,serious,2,car,0,5,foggy,state highway,wet,dark,,107,45,female,valid,no,22
2021,june,tuesday,fatal,5,car,10,4,stormy,state highway,under construction,dark,,44,34,male,valid,no,6
2019,september,friday,serious,2,two-wheeler,4,4,stormy,village road,damaged,dark,signals,68,43,male,expired,yes,8
2019,july,friday,serious,1,car,1,5,hazy,urban road,wet,dawn,signs,53,18,female,valid,no,20
2021,december,thursday,minor,4,bus,5,4,clear,state highway,under construction,dawn,police checkpost,119,29,male,,no,7
2019,may,friday,minor,4,auto-rickshaw,0,2,foggy,village road,dry,dusk,police checkpost,56,61,female,valid,no,0
2019,november,thursday,serious,1,car,1,0,stormy,state highway,dry,daylight,police checkpost,117,21,male,valid,no,10
2021,august,sunday,fatal,2,pedestrian,5,5,rainy,state highway,under construction,daylight,,52,51,female,expired,no,23
2018,march,monday,minor,1,pedestrian,0,1,foggy,national highway,under construction,dark,,53,48,female,,yes,8
2020,may,monday,fatal,1,two-wheeler,6,1,rainy,village road,wet,daylight,police checkpost,54,29,male,expired,yes,2
2021,september,thursday,minor,3,truck,0,3,clear,urban road,wet,daylight,,119,51,male,expired,yes,23
2018,june,sunday,fatal,4,cycle,4,1,hazy,national highway,under construction,daylight,police checkpost,101,35,male,valid,yes,4
2018,july,friday,minor,3,truck,0,0,clear,national highway,under construction,dark,police checkpost,86,62,female,expired,no,12
2021,june,saturday,fatal,5,car,5,1,stormy,national highway,under construction,dark,signals,56,70,female,,no,6
2022,april,saturday,serious,1,truck,3,2,hazy,urban road,under construction,dawn,signs,69,41,male,expired,yes,14
2022,november,saturday,minor,5,two-wheeler,8,2,foggy,national highway,damaged,daylight,,54,43,female,,yes,7
2018,march,saturday,serious,3,bus,9,0,clear,state highway,damaged,dark,signals,38,59,female,,no,2
2020,february,sunday,serious,1,cycle,6,5,hazy,state highway,under construction,dark,,54,51,male,,no,14
2019,march,tuesday,minor,5,car,9,1,stormy,national highway,dry,daylight,signals,67,58,male,expired,yes,20
2020,april,monday,fatal,1,car,3,3,clear,state highway,under construction,daylight,police checkpost,69,40,male,,no,21
2019,july,wednesday,serious,4,bus,4,5,hazy,state highway,dry,daylight,police checkpost,69,44,female,expired,no,19
2018,january,saturday,serious,3,pedestrian,9,0,clear,national highway,damaged,dusk,,90,48,male,valid,yes,20
2019,march,saturday,fatal,1,two-wheeler,5,1,stormy,urban road,under construction,daylight,signs,35,62,female,valid,no,6
2019,september,friday,minor,1,car,10,1,rainy,national highway,under construction,dawn,signs,118,44,female,expired,no,7
2023,september,wednesday,serious,2,truck,9,0,rainy,urban road,dry,dawn,,75,61,male,,no,2
2019,october,thursday,minor,2,pedestrian,1,2,hazy,urban road,under construction,dawn,,116,62,male,expired,yes,20
2018,august,saturday,serious,3,auto-rickshaw,3,0,stormy,village road,dry,dusk,signals,120,51,female,valid,yes,14
2019,december,wednesday,minor,1,bus,3,1,hazy,national highway,dry,dark,signals,73,53,male,valid,no,15
2023,july,sunday,fatal,5,cycle,2,0,hazy,state highway,wet,dusk,signs,40,35,female,,no,12
2019,august,saturday,minor,5,two-wheeler,1,3,hazy,village road,dry,dusk,signals,31,43,male,valid,no,12
2023,november,friday,minor,1,car,4,4,stormy,village road,wet,dark,signals,45,40,male,valid,no,15
2019,may,sunday,serious,3,truck,7,0,clear,national highway,under construction,dark,signals,100,31,female,expired,no,20
2019,august,thursday,serious,3,truck,2,0,clear,urban road,dry,dusk,police checkpost,64,36,male,valid,yes,17
2023,december,friday,minor,3,auto-rickshaw,3,1,clear,village road,under construction,dark,signals,78,63,male,valid,yes,5
2021,september,saturday,serious,5,pedestrian,0,0,clear,village road,under construction,dark,signs,91,67,male,,no,4
2020,december,monday,fatal,5,truck,9,0,clear,village road,dry,daylight,signs,66,61,female,,yes,2
2023,january,sunday,fatal,2,cycle,9,5,foggy,state highway,under construction,dark,,34,51,female,,no,4
2020,august,monday,fatal,5,cycle,1,1,rainy,urban road,damaged,daylight,signs,73,64,female,,no,19
2018,october,sunday,minor,5,bus,6,4,foggy,national highway,dry,dusk,signs,67,67,male,valid,no,17
2023,september,saturday,minor,4,bus,9,0,rainy,village road,under construction,dark,,108,47,male,expired,yes,23
2020,october,tuesday,minor,5,pedestrian,8,1,foggy,national highway,damaged,dark,signs,65,67,female,expired,no,20
2020,july,saturday,fatal,4,cycle,9,3,rainy,national highway,dry,daylight,,78,62,male,,yes,13
2020,december,saturday,fatal,2,pedestrian,0,2,stormy,national highway,damaged,daylight,signs,49,60,female,valid,no,3
2022,september,thursday,minor,2,two-wheeler,0,0,rainy,state highway,damaged,dusk,signs,87,49,male,,yes,9
2020,march,monday,fatal,2,bus,3,4,clear,urban road,under construction,dusk,signals,91,35,female,expired,yes,20
2023,july,saturday,minor,5,pedestrian,5,4,clear,urban road,wet,dark,signals,111,58,male,,no,10
2020,january,sunday,serious,5,cycle,4,4,foggy,urban road,damaged,dark,signs,99,58,female,valid,no,23
2023,may,wednesday,fatal,5,cycle,4,4,foggy,national highway,damaged,dusk,police checkpost,58,47,male,valid,no,6
2023,april,tuesday,fatal,1,auto-rickshaw,2,5,hazy,urban road,dry,daylight,signs,117,50,male,,no,17
2018,june,saturday,serious,2,two-wheeler,3,2,rainy,state highway,wet,dusk,police checkpost,40,48,female,valid,yes,5
2019,june,monday,minor,4,cycle,6,5,foggy,urban road,under construction,daylight,signs,35,47,female,expired,yes,5
2018,august,thursday,serious,1,auto-rickshaw,8,0,stormy,village road,under construction,daylight,signals,48,28,male,valid,no,3
2019,may,sunday,minor,3,truck,7,4,stormy,national highway,under construction,daylight,signs,118,22,female,valid,yes,5
2018,february,wednesday,serious,5,cycle,1,4,clear,national highway,damaged,dark,signals,53,26,male,,yes,0
2021,july,saturday,minor,3,auto-rickshaw,0,2,clear,state highway,under construction,dark,signals,38,69,male,expired,no,3
2023,december,tuesday,minor,5,car,6,4,clear,village road,wet,dusk,police checkpost,62,38,female,expired,yes,22
2018,april,wednesday,serious,1,bus,8,3,foggy,national highway,damaged,dawn,,90,43,female,expired,no,20
2021,january,sunday,fatal,3,bus,9,3,foggy,national highway,wet,daylight,signs,40,40,female,expired,no,20
2022,february,tuesday,serious,4,car,6,3,hazy,urban road,under construction,dawn,,51,47,male,,no,12
2023,june,tuesday,fatal,5,two-wheeler,2,0,stormy,state highway,wet,dawn,,83,40,female,expired,no,7
2023,october,tuesday,serious,3,pedestrian,6,3,clear,national highway,damaged,daylight,signs,55,64,male,expired,yes,22
2018,june,monday,minor,4,car,1,3,hazy,village road,wet,dark,signals,106,45,female,valid,yes,0
2020,april,saturday,minor,5,pedestrian,5,2,stormy,state highway,under construction,dark,police checkpost,120,40,female,,no,4
2018,may,tuesday,minor,4,pedestrian,9,2,foggy,urban road,under construction,dusk,,117,60,female,expired,yes,12
2020,june,monday,fatal,1,auto-rickshaw,3,0,hazy,urban road,under construction,dawn,police checkpost,50,29,female,expired,yes,13
2020,november,monday,minor,4,bus,5,0,rainy,national highway,damaged,daylight,police checkpost,32,60,female,valid,yes,3
2022,june,wednesday,fatal,1,cycle,9,1,hazy,state highway,damaged,dusk,police checkpost,32,23,male,valid,yes,15
2018,october,tuesday,serious,2,car,7,0,stormy,state highway,dry,dusk,signs,106,22,male,expired,no,19
2020,august,sunday,serious,5,two-wheeler,6,1,hazy,urban road,under construction,dawn,,34,38,female,valid,no,14
2019,january,tuesday,fatal,3,cycle,6,2,hazy,state highway,damaged,dark,police checkpost,41,22,female,expired,no,12
2019,august,friday,minor,5,truck,1,4,hazy,urban road,wet,daylight,signs,120,67,female,expired,no,2
2019,february,thursday,serious,2,cycle,8,2,clear,village road,under construction,dusk,signs,84,66,male,valid,no,8
2021,november,sunday,minor,4,car,9,4,stormy,state highway,under construction,daylight,,49,53,female,,yes,13
2021,october,friday,minor,1,two-wheeler,2,3,stormy,village road,under construction,dusk,signals,79,54,male,expired,no,11
2022,february,friday,fatal,4,two-wheeler,9,4,hazy,village road,wet,daylight,signals,95,27,female,,no,21
2021,may,tuesday,fatal,5,cycle,1,2,rainy,urban road,damaged,daylight,police checkpost,105,58,female,,yes,0
2021,november,friday,minor,1,auto-rickshaw,0,2,stormy,state highway,damaged,daylight,police checkpost,111,36,male,expired,yes,4
2021,may,thursday,minor,2,two-wheeler,9,3,stormy,urban road,wet,daylight,signals,75,44,male,,no,13
2021,may,monday,serious,3,two-wheeler,8,0,hazy,urban road,damaged,dark,,50,40,male,valid,yes,1
2022,october,saturday,fatal,4,bus,0,3,clear,urban road,dry,dawn,signs,98,27,male,expired,no,0
2023,march,tuesday,minor,3,two-wheeler,3,3,stormy,village road,damaged,dark,signs,93,22,male,valid,no,5
2021,september,thursday,serious,1,truck,10,0,stormy,national highway,damaged,dusk,signs,102,63,female,expired,yes,20
2021,january,wednesday,minor,1,two-wheeler,2,1,foggy,state highway,dry,daylight,signals,38,69,female,valid,no,14
2023,march,friday,serious,3,two-wheeler,7,3,clear,urban road,wet,dark,signs,118,47,female,expired,yes,21
2022,may,wednesday,serious,5,pedestrian,9,1,hazy,village road,damaged,daylight,signals,120,28,female,valid,yes,17
2021,november,saturday,fatal,4,auto-rickshaw,2,4,hazy,national highway,damaged,daylight,,99,50,female,,yes,22
2019,june,wednesday,minor,2,truck,8,0,hazy,urban road,damaged,dawn,signs,30,20,male,valid,yes,9
2021,november,monday,minor,5,cycle,1,2,rainy,urban road,under construction,dawn,,43,67,male,expired,yes,13
2019,august,thursday,minor,2,car,3,5,clear,village road,damaged,dark,police checkpost,62,50,male,expired,no,16
2021,november,saturday,serious,2,truck,1,0,hazy,urban road,under construction,dawn,signs,67,33,female,expired,yes,19
2023,april,thursday,minor,2,car,7,4,stormy,state highway,dry,dawn,,54,26,female,expired,no,16
2021,may,friday,minor,1,pedestrian,10,3,rainy,national highway,wet,daylight,signals,97,45,male,valid,no,11
2023,december,wednesday,minor,1,cycle,7,4,rainy,village road,damaged,daylight,signs,68,19,male,expired,no,13
2020,april,sunday,minor,2,auto-rickshaw,10,2,foggy,state highway,damaged,dusk,signals,110,38,female,expired,yes,17
2021,april,wednesday,fatal,5,auto-rickshaw,5,0,rainy,state highway,wet,dark,police checkpost,35,62,male,valid,no,22
2021,january,wednesday,serious,2,truck,3,3,foggy,state highway,under construction,dark,,42,38,male,,yes,0
2021,december,friday,serious,2,two-wheeler,10,4,hazy,national highway,dry,daylight,,100,30,male,,no,17
2019,june,wednesday,serious,2,cycle,0,4,foggy,urban road,dry,dark,police checkpost,109,48,male,expired,no,14
2021,august,thursday,serious,1,auto-rickshaw,0,4,clear,state highway,wet,dusk,police checkpost,59,60,male,expired,yes,13
2023,december,wednesday,serious,3,auto-rickshaw,4,2,clear,village road,under construction,dark,signs,86,67,female,expired,no,21
2019,december,thursday,fatal,3,pedestrian,7,0,rainy,village road,under construction,daylight,signals,75,66,female,,yes,11
2021,april,tuesday,serious,2,bus,2,2,clear,urban road,damaged,dawn,police checkpost,49,50,female,,no,21
2019,june,monday,fatal,5,pedestrian,5,1,foggy,state highway,under construction,dark,signals,106,49,female,,no,4
2023,april,monday,serious,2,two-wheeler,6,5,rainy,state highway,damaged,dark,signals,118,25,male,valid,no,9
2020,august,thursday,fatal,4,auto-rickshaw,8,4,hazy,national highway,wet,dawn,,112,38,female,,yes,13
2018,november,thursday,serious,4,auto-rickshaw,9,3,foggy,national highway,under construction,dark,police checkpost,88,19,male,,no,16
2020,january,monday,serious,5,truck,2,4,stormy,state highway,wet,dusk,,85,52,male,expired,yes,8
2020,august,monday,serious,1,pedestrian,6,2,hazy,state highway,wet,daylight,signals,46,37,male,valid,yes,8
2023,april,tuesday,minor,5,truck,0,4,stormy,urban road,wet,dark,signs,45,32,male,valid,yes,8
2019,march,thursday,serious,5,auto-rickshaw,1,5,foggy,national highway,damaged,dark,signals,62,39,male,,no,7
2023,february,thursday,minor,1,car,0,1,clear,village road,dry,daylight,signs,65,19,female,expired,yes,22
2022,october,tuesday,serious,4,pedestrian,10,0,stormy,state highway,under construction,dawn,signs,66,23,female,valid,no,0
2021,january,wednesday,minor,4,bus,4,3,stormy,village road,wet,dusk,police checkpost,91,47,male,expired,no,0
2022,september,wednesday,fatal,3,two-wheeler,6,1,clear,national highway,dry,daylight,signs,46,44,male,valid,yes,16
2018,may,tuesday,minor,1,cycle,1,2,clear,national highway,wet,dusk,signs,119,40,female,,yes,6
2019,march,wednesday,serious,1,auto-rickshaw,9,3,hazy,village road,wet,dark,,57,39,female,valid,yes,17
2018,may,friday,fatal,4,car,10,2,foggy,urban road,under construction,daylight,signs,115,32,male,valid,no,17
2018,july,sunday,serious,5,two-wheeler,10,5,clear,village road,dry,daylight,signs,85,48,female,valid,no,23
